,Article_Topic,Article_Prefix,Article_Number,Article_Title,Chunk_Number,Chunk
0,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 1,1,Subject matter,0,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 1, Title: Subject matter
1.	This Regulation lays down uniform requirements on the provision of payment services and electronic money services, as regards:
(a)	the transparency of conditions and information requirements for payment services and electronic money services; 
(b)	the respective rights and obligations of payment and electronic money service users, and of payment and electronic money service providers in relation to the provision of payment services and electronic money services.
2.	Unless specified otherwise, any reference to payment services shall be understood in this Regulation as meaning payment and electronic money services.
3.	Unless specified otherwise, any reference to payment service providers shall be understood in this Regulation as meaning payment service providers and electronic money service providers."
1,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 2,2,Scope,1,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 2, Title: Scope
1.	This Regulation applies to payment services provided within the Union by the following categories of payment service providers:
(a)	credit institutions as defined in Article 4(1), point (1) of Regulation (EU) No 575/2013 of the European Parliament and of the Council1, including branches thereof where such branches are located in the Union, whether the head offices of those are located within the Union or outside the Union;
(b)	post office giro institutions which are entitled under national law to provide payment services;
(c)	payment institutions; 
(d)	the ECB and national central banks when not acting in their capacity as monetary authority or other public authorities;
(e)	Member States or their regional or local authorities when not acting in their capacity as public authorities.
2.	This Regulation does not apply to the following services:
(a)	payment transactions made exclusively in cash directly from the payer to the payee, without any intermediary intervention;"
2,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 2,2,Scope,2,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 2, Title: Scope
2.	This Regulation does not apply to the following services:
(a)	payment transactions made exclusively in cash directly from the payer to the payee, without any intermediary intervention;
(b)	payment transactions from the payer to the payee through a commercial agent, as defined in Article 1(2) of Directive 86/653/EEC, provided that all of following conditions are met : i) the commercial agent is authorised via an agreement to negotiate or conclude the sale or purchase of goods or services on behalf of only the payer or only the payee, but not both of them, irrespective of whether or not the commercial agent is in the possession of the client’s funds, and ii) such agreement gives the payer or the payee a real margin to negotiate with the commercial agent or conclude the sale or purchase of goods or services;
(c)	payment transactions consisting of the non-professional cash collection and delivery within the framework of a non-profit or charitable activity;"
3,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 2,2,Scope,3,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 2, Title: Scope
(c)	payment transactions consisting of the non-professional cash collection and delivery within the framework of a non-profit or charitable activity;
(d)	services where cash is provided by the payee to the payer as part of a payment transaction for the purchase of goods and services, following an explicit request by the payment service user just before the execution of the payment transaction;
(e)	services where cash is provided in retail stores following an explicit request by the payment service user but independently of the execution of any payment transaction and without any obligation to make a purchase of goods and services. The payment service user shall be provided with information on any possible charges for this service before the requested cash is provided;
(f)	payment transactions based on any of the following documents drawn on the payment service provider to place funds at the disposal of the payee:"
4,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 2,2,Scope,4,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 2, Title: Scope
(f)	payment transactions based on any of the following documents drawn on the payment service provider to place funds at the disposal of the payee:
(i) 	paper cheques governed by the Geneva Convention of 19 March 1931 providing a uniform law for cheques;
(ii) 	paper cheques similar to those referred to in point (i) and governed by the laws of Member States which are not party to the Geneva Convention of 19 March 1931 providing a uniform law for cheques;
(iii)	paper-based drafts referred to in the Geneva Convention of 7 June 1930 providing a uniform law for bills of exchange and promissory notes;
(iv)	paper-based drafts similar to those referred to in point (iii) and governed by the laws of Member States which are not party to the Geneva Convention of 7 June 1930 providing a uniform law for bills of exchange and promissory notes;
(v)	paper-based vouchers;
(vi)	paper-based traveller’s cheques;
(vii)	paper-based postal money orders as defined by the Universal Postal Union;"
5,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 2,2,Scope,5,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 2, Title: Scope
(v)	paper-based vouchers;
(vi)	paper-based traveller’s cheques;
(vii)	paper-based postal money orders as defined by the Universal Postal Union;
(g)	payment transactions carried out within a payment or securities settlement system between settlement agents, central counterparties, clearing houses or central banks and other participants of the system, and payment service providers, without prejudice to Article 31;
(h)	payment transactions related to securities asset servicing, including dividends, income or other distributions, or redemption or sale, carried out by persons as referred to in point (g) or by investment firms, credit institutions, collective investment undertakings or asset management companies providing investment services and any other entities allowed to have the custody of financial instruments;
(i)	without prejudice to Article 23(2), and Articles 58 and 87, services provided by technical service providers;"
6,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 2,2,Scope,6,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 2, Title: Scope
(i)	without prejudice to Article 23(2), and Articles 58 and 87, services provided by technical service providers; 
(j)	services based on specific payment instruments that meet one of the following conditions:
(i) instruments allowing the holder to acquire goods or services only in the premises of the issuer or within a single limited network of service providers under direct commercial agreement with a professional issuer;
(ii) instruments which can be used only to acquire a very limited range of goods or services;
(iii) instruments valid only in a single Member State, which are provided at the request of an undertaking or a public sector entity and regulated by a national or regional public authority for specific social or tax purposes to acquire specific goods or services from suppliers having a commercial agreement with the issuer;"
7,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 2,2,Scope,7,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 2, Title: Scope
(k)	payment transactions by a provider of electronic communications networks as defined in Article 2, point (1), of Directive (EU) 2018/1972 of the European Parliament and of the Council2, or services provided in addition to electronic communications services as defined in Article 2, point (4), of that Directive to a subscriber to the network or service:
(i) to purchase digital content and voice-based services, regardless of the device used for the purchase or consumption of the digital content and charged to the related bill; or
(ii) performed from or via an electronic device and charged to the related bill within the framework of a charitable activity or for the purchase of tickets;
provided that the value of any single payment transaction does not exceed EUR 50 and:
– the cumulative value of payment transactions for an individual subscriber does not exceed EUR 300 per month, or"
8,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 2,2,Scope,8,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 2, Title: Scope
provided that the value of any single payment transaction does not exceed EUR 50 and:
– the cumulative value of payment transactions for an individual subscriber does not exceed EUR 300 per month, or
– where a subscriber pre-funds its account with the provider of the electronic communications network or service, the cumulative value of payment transactions does not exceed EUR 300 per month;
(l)	payment transactions carried out between payment service providers, their agents or branches for their own account;
(m)	payment transactions and related services between a parent undertaking and its subsidiary or between subsidiaries of the same parent undertaking, without any intermediary intervention by a payment service provider other than an undertaking belonging to the same group, and the collection of payment orders on behalf of a group by a parent undertaking or its subsidiary for onward transmission to a payment service provider."
9,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 2,2,Scope,9,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 2, Title: Scope
3.	Titles II and III apply to payment transactions in the currency of a Member State where both the payer’s payment service provider and the payee’s payment service provider are, or the sole payment service provider in the payment transaction is, located within the Union.
4.	Title II, except for Article 13(1), point (b) , Article 20, point (2)(e) and Article 24, point (a), and Title III, except for Articles 67 to 72, apply to payment transactions in a currency that is not the currency of a Member State, where both the payer’s payment service provider and the payee’s payment service provider are, or the sole payment service provider in the payment transaction is, located within the Union, in respect to those parts of the payments transaction which are carried out in the Union."
