Question,Question Subject,Articles_Chunks,Answer
Under the mandate definition please answer who authorizes whom?,Authorization in mandates: who grants authority to whom?,6,"The payer authorizes the payment service provider to execute a payment transaction or access a payment account. This authorization must be given explicitly by the payer, either prior to or after the transaction, as agreed with the payment service provider. Additionally, the payer can withdraw this permission at any time, rendering future transactions unauthorized. The payment service user must also give permission for account information services or payment initiation services to access their account. Please also refer to: Article 49, Title: Authorisation."
Does the definition of a payment transaction include cases were someone acts on behalf of a payer?,Payment transaction definition and representation by others.,6,"Yes, the definition of a payment transaction does include cases where someone acts on behalf of a payer. According to Article 3, a payment transaction can be initiated based on a payment order placed by the payer or on their behalf, as well as by the payee or on their behalf. This broad definition ensures that any authorized representative can facilitate the transaction. Please also refer to: Article 3, Title: Definitions."
Please explain to me the Direct Debit service,Direct Debit service explanation.,1,"A Direct Debit service is a payment method that allows a payee to initiate a transaction to debit a payer's payment account, based on a mandate provided by the payer. This means that the payer authorizes the payee, or the payee's payment service provider, to withdraw funds directly from the payer's account. It is commonly used for recurring payments, such as utility bills or subscriptions. The process ensures that payments are made automatically without the payer needing to initiate each transaction. Please also refer to: Article 3, Title: Definitions."
What is the difference between strong customer authentication and simple authentication ?,Strong vs. simple customer authentication differences.,5,"Strong customer authentication (SCA) requires the use of two or more independent elements categorized as knowledge, possession, and inherence, ensuring a higher level of security. In contrast, simple authentication may involve only one element, which does not provide the same level of protection against fraud. SCA is designed to protect the confidentiality of authentication data and is mandatory for certain transactions, while simple authentication lacks these stringent requirements. Additionally, SCA must accommodate diverse user needs, ensuring accessibility for all customers, including those with disabilities. Please also refer to: Article 3, Title: Definitions; Article 86, Title: Strong customer authentication in respect of payment initiation and account information services."
What are the ways a payment service provider shall inform a user prior of a framework contract? ,Payment service provider user notification methods before contract.,6,"A payment service provider shall inform a user prior to a framework contract by providing general information as required under Article 12, which includes a draft of the single payment service contract or payment order. Additionally, the provider must ensure that the user is aware of any changes in conditions as outlined in Article 22, including the right to terminate the contract if changes are not accepted. The provider is also obligated to notify the user of any refusal of payment orders and the reasons for such refusals as per Article 65. Furthermore, any changes in interest or exchange rates must be communicated at the earliest opportunity, as specified in Article 22. 

Please also refer to: Article 12 - Prior general information, Article 22 - Changes in conditions of the framework contract, Article 65 - Refusal of payment orders."
"What information and conditions has the payment service provider to provide the payment service user""",Payment service provider's information and user conditions.,6,"The payment service provider must provide the payment service user with comprehensive information including the provider's name, geographical address, and contact details, as well as the particulars of relevant supervisory authorities (Article 20). Additionally, they must specify the main characteristics of the payment service, execution times, charges, and applicable exchange rates (Article 13). Information on alternative dispute resolution procedures and conditions for blocking payment instruments must also be included (Article 20). Furthermore, the provider should inform users about their liability and the process for reporting unauthorized transactions (Article 20). Please also refer to: Article 13 - Information and conditions, Article 20 - Information and conditions."
What are the relevant time periods for the termination of a contract?,Contract termination time periods.,3,"The payment service user may terminate the framework contract at any time, with a notice period not exceeding 1 month if agreed upon. If the payment service provider wishes to terminate a contract of indefinite duration, they must provide at least 2 months’ notice. Termination is free of charge for the user unless the contract has been in force for less than 6 months. Charges for payment services are payable only proportionally up to the termination date, and any prepaid charges must be reimbursed proportionally. Member States may offer more favorable termination provisions for users. 

Please also refer to: Article 23, Title: Termination."
In the case of payment instruments not exceeding EUR 50 what are the derogations for the applicable charges?,Derogations for charges on payments under EUR 50.,3,"In the case of payment instruments not exceeding EUR 50, several derogations apply regarding applicable charges. Payment service providers may agree that certain articles do not apply if the payment instrument cannot be blocked or if it is used anonymously. Additionally, providers are not required to notify users of the refusal of a payment order if the non-execution is apparent. The payer also cannot revoke the payment order after it has been transmitted or authorized. Finally, different execution periods may apply for these low-value transactions. 

Please also refer to: Article 29 - Derogation for low value payment instruments and electronic money, Article 10 - Derogation from information requirements for low-value payment instruments and electronic money."
What if redemption is requested for electronic money one year after the contract termination?,Redemption request for electronic money post-contract termination.,1,"If redemption is requested for electronic money more than one year after the date of termination of the contract, the electronic money issuer may impose a fee. This fee must be proportionate to and commensurate with the actual costs incurred by the issuer. Therefore, the holder may not receive the full monetary value of the electronic money after this period. It is important to note that redemption requests made within one year of termination are treated differently. Please also refer to: Article 30, Title: Issuance and redeemability of electronic money."
When a credit institution may refuse to open a payment account? ,Conditions for refusal to open payment accounts.,1,"A credit institution may refuse to open a payment account in several specific situations. These include serious suspicions of defective money laundering or terrorism financing controls, breaches of contract by the applicant, insufficient information provided by the applicant, an excessive risk profile presented by the applicant's business model, or disproportionately high compliance costs for the institution. Each of these conditions serves to protect the integrity and security of the financial system. Please also refer to: Article 32, Title: Provision by credit institutions of payment accounts to payment institutions."
