Question,Question_Subject,Articles_Chunks,Answer
Under the mandate definition please answer who authorizes whom?,Mandate definition: authorization relationships between parties.,5,"Under the mandate definition, the payer authorizes the payee to initiate payment transactions on their behalf. This authorization is expressed through a mandate, which allows the payee to place payment orders for debiting the payer's specified payment account. Additionally, the mandate may involve the payer's payment service provider to comply with the payee's instructions. Therefore, the authorization flows from the payer to the payee and indirectly to the payment service provider. 

Please also refer to: Article 3, Title: Definitions; Article 85, Title: Strong customer authentication."
Does the definition of a payment transaction include cases were someone acts on behalf of a payer?,Payment transaction definition and representation by others.,6,"Yes, the definition of a payment transaction includes cases where someone acts on behalf of a payer. Specifically, it states that a payment transaction can be based on a payment order placed by the payer or on their behalf. This ensures that transactions initiated by authorized representatives are covered under the definition. Please also refer to: Article 3, Title: Definitions."
Please explain to me the Direct Debit service,Direct Debit service explanation.,1,"A Direct Debit service is a payment method that allows a payee to initiate a transaction to debit a payer's payment account, based on a mandate provided by the payer. This means the payer authorizes the payee or their payment service provider to withdraw funds directly from the payer's account. The process is designed for recurring payments, ensuring that the payee receives the funds as agreed. It simplifies transactions for both parties by automating the payment process. Please also refer to: Article 3, Definitions."
What is the difference between strong customer authentication and simple authentication ?,Strong vs. simple customer authentication differences.,6,"Strong customer authentication (SCA) requires the use of two or more independent elements from different categories to verify a user's identity, ensuring a higher level of security against fraud. In contrast, simple authentication may involve only one element or less stringent measures, making it less secure. SCA is mandated for specific actions such as accessing payment accounts online or placing payment orders, while simple authentication may not meet these requirements. Additionally, SCA must be applied consistently, whereas simple authentication can vary widely in its application. Please also refer to: Article 85 - Strong customer authentication."
What are the ways a payment service provider shall inform a user prior of a framework contract? ,Payment service provider user notification methods before contract.,6,"A payment service provider shall inform a user prior to a framework contract by providing general information about the conditions and terms of the contract as outlined in Article 12. Additionally, they may provide a copy of the draft single payment service contract or the draft payment order, which includes the necessary information and conditions specified in Article 13. If the contract is concluded at the user's request through distance communication, the provider must fulfill their obligations immediately after the execution of the payment transaction. Furthermore, any changes to the framework contract must be communicated to the user, as stated in Article 22, ensuring the user is aware of their rights regarding acceptance or rejection of those changes. Please also refer to: Article 12 - Prior general information, Article 13 - Information requirements, Article 22 - Changes in conditions of the framework contract."
"What information and conditions has the payment service provider to provide the payment service user""",Payment service provider's information and conditions for users.,6,"The payment service provider must provide the payment service user with clear and comprehensive information on several key aspects. This includes the name and geographical address of the provider, contact details, and the maximum execution time for payment services. Additionally, the provider must disclose all charges payable by the user, any applicable exchange rates, and the alternative dispute resolution procedures available. Furthermore, the information must be presented in an easily understandable format and made available in a durable medium if requested. 

Please also refer to: Article 13 - Information and conditions, Article 20 - Information and conditions."
What are the relevant time periods for the termination of a contract?,Relevant time periods for contract termination.,6,"The payment service user may terminate the framework contract at any time, with a notice period not exceeding 1 month if agreed upon. If the framework contract is indefinite, the payment service provider must provide at least 2 months’ notice for termination. Termination is free of charge for the user unless the contract has been in force for less than 6 months. Charges for payment services will be proportionally payable up to the termination date, and any prepaid charges will be reimbursed proportionally. Member States may also have more favorable provisions regarding termination for payment service users. 

Please also refer to: Article 23 - Termination."
In the case of payment instruments not exceeding EUR 50 what are the derogations for the applicable charges?,Derogations for charges on payments under EUR 50.,3,"In the case of payment instruments not exceeding EUR 50, several derogations apply regarding charges. Payment service providers may agree that certain articles do not apply if the payment instrument cannot be blocked or if it is used anonymously. Additionally, providers are not required to notify users of payment order refusals if the non-execution is apparent, and users cannot revoke payment orders after authorization. Other execution periods may also apply, deviating from standard regulations. 

Please also refer to: Article 29, Title: Derogation for low value payment instruments and electronic money; Article 10, Title: Derogation from information requirements for low-value payment instruments and electronic money."
What if redemption is requested for electronic money one year after the contract termination?,Redemption request for electronic money post-contract termination.,1,"If redemption is requested for electronic money more than one year after the date of termination of the contract, the issuer may impose a fee for the redemption. This fee must be proportionate to and commensurate with the actual costs incurred by the electronic money issuer. Therefore, the holder may not receive the total monetary value of the electronic money after this period. Please also refer to: Article 30, Title: Issuance and redeemability of electronic money."
When a credit institution may refuse to open a payment account? ,Conditions for refusal to open payment accounts.,1,"A credit institution may refuse to open a payment account in several specific cases. These include serious suspicions of defective money laundering or terrorism financing controls, breaches of contract by the applicant, insufficient information provided, an excessive risk profile of the applicant's business model, or disproportionately high compliance costs for the institution. Each of these conditions serves to protect the integrity and security of the financial system. Please also refer to: Article 32, Title: Provision by credit institutions of payment accounts to payment institutions."
What are the requirements regarding dedicated data access interfaces?,Dedicated data access interfaces requirements.,6,"The requirements regarding dedicated data access interfaces include ensuring secure communication sessions between account servicing payment service providers, account information service providers, and payment initiation service providers during user authentication. The interface must maintain the integrity and confidentiality of personalized security credentials and authentication codes. Additionally, the response time for access requests must match that of the interface available to payment service users for direct account access. Account servicing payment service providers must also allow service providers to identify themselves and initiate authentication based on user permissions. Lastly, the dedicated interface must provide equal availability and performance compared to customer interfaces. 

Please also refer to: Article 36 - Requirements regarding dedicated data access interfaces."
What are the obligations for the unavailability of interfaces to perform payment transactions?,Obligations for payment interface unavailability.,6,"In the event of unavailability of the dedicated interface, account servicing payment service providers must inform payment service providers about the measures taken to restore the interface and provide an estimated resolution time. They are required to offer an effective alternative solution for accessing payment account data without delay. If no alternative is provided, payment initiation service providers may request authorization from the competent authority to use the interface for authentication and communication. The competent authority can grant temporary access until the dedicated interface is restored. Additionally, account servicing payment service providers must take all necessary measures to prevent such unavailability. 

Please also refer to: Article 38, Title: Contingency measures for an unavailable dedicated interface."
What dashboard data should provide the servicing payment service providers?,Dashboard data for servicing payment providers.,6,"The servicing payment service providers should provide a dashboard that allows payment service users to monitor and manage permissions for account information services or payment initiation services. This dashboard must include an overview of ongoing permissions, detailing the name of the service provider, the customer account, the purpose and validity period of the permission, and the categories of data being shared. Additionally, it should enable users to withdraw or re-establish data access and maintain a record of withdrawn or expired permissions for two years. The information displayed must be clear, accurate, and easily understandable, and real-time cooperation between service providers is required to keep the dashboard updated. 

Please also refer to: Article 43 - Data access management by payment service users."
What sensitive data measures have to be taken by the payment service providers?,Sensitive data measures for payment service providers.,6,"Payment service providers must implement transaction monitoring mechanisms that support strong customer authentication and enable the detection of potentially fraudulent transactions. They are required to process only the necessary data, including transaction history and session data, while ensuring that sensitive payment data, such as personalised security credentials, is not stored longer than necessary. Additionally, they must adopt technical measures to comply with data protection principles, including data minimisation and storage limitation. Organizational measures, such as training and access restrictions, are also essential for handling special categories of data. Please also refer to: Article 80, Data protection; Article 83, Transaction monitoring mechanisms and fraud data sharing."
Under which conditions funds maybe blocked in a payments account?,Conditions for blocking funds in payment accounts.,6,"Funds in a payment account may be blocked under specific conditions, including: (1) if the payment service provider and the payer have agreed on spending limits for the payment instrument, the provider may block the instrument for justified security reasons or suspicion of unauthorized use (Article 51); (2) for card-based transactions where the exact amount is unknown, funds can only be blocked if the payer has given permission for that specific amount (Article 61); (3) the provider must inform the payer of the blocking and its reasons, unless security reasons prevent this (Article 51); and (4) once the reasons for blocking no longer exist, the provider must unblock the payment instrument (Article 51). Please also refer to: Article 51 - Limits and blocking of the use of the payment instrument, Article 61 - Payment transactions where the transaction amount is not known in advance."
How many months after a fraud incident a user may notify for the event?,Fraud incident notification timeframe.,6,"A user may notify the payment service provider of a fraud incident no later than 13 months after the debit date of the transaction. This timeframe applies as long as the user has become aware of the transaction and notifies the provider without undue delay. If the payment service provider has failed to provide necessary information about the transaction, this time limit does not apply. Please also refer to: Article 54 - Notification and rectification of unauthorised, authorised or incorrectly executed payment transactions."
Who has the burden to prove that a claimed fraud payment transaction was authorised?,Burden of proof in fraud payment transaction authorization.,4,"The burden to prove that a claimed fraud payment transaction was authorised lies with the payment service provider. If the transaction was initiated through a payment initiation service provider, then that provider also bears the burden of proof within its sphere of competence. Additionally, if a payment service user denies authorisation, the mere use of a payment instrument is not sufficient evidence of authorisation or fraudulent intent. The payment service provider must provide supporting evidence to substantiate any claims of fraud or gross negligence by the user. Please also refer to: Article 55, Evidence on authorisation and execution of payment transactions; Article 59, Payment service provider’s liability for impersonation fraud."
Who has the liability for the incorrect execution of payment transactions ? ,Liability for incorrect payment transactions execution.,6,"The liability for the incorrect execution of payment transactions primarily lies with the payer's payment service provider, unless it can prove that the payee's payment service provider received the payment correctly. In cases of non-executed or defective transactions, the payer's provider must refund the amount and restore the account to its previous state. If a payment initiation service provider is involved, it may also bear liability for non-execution or defective execution. Additionally, payment service providers are responsible for any charges or interest incurred by the user due to these issues. 

Please also refer to: Article 75 - Payment service providers’ liability for non-execution, defective or late execution of payment transactions."
When a payer has liability for unauthorised payment transactions?,Payer liability for unauthorized payment transactions.,6,"A payer may be liable for unauthorized payment transactions under certain conditions. Specifically, if the payer uses a lost or stolen payment instrument or if the instrument was misappropriated, they may be liable for losses up to EUR 50, unless they acted fraudulently or the loss was not detectable prior to the transaction. Additionally, if the payer fails to fulfill obligations set out in Article 52 with intent or gross negligence, they bear all losses. However, if the payer has neither acted fraudulently nor intentionally failed in their obligations, their liability may be reduced by national authorities or payment service providers. Please also refer to: Article 60, Title: Payer’s liability for unauthorised payment transactions."
When strong customer authentication can be exempted?,Exemptions for strong customer authentication scenarios.,1,"Strong customer authentication can be exempted based on criteria such as the level of risk involved in the service, the amount and recurrence of the transaction, or the payment channel used for executing the transaction. These exemptions are designed by the EBA under Article 89. Additionally, the two or more elements required for strong customer authentication do not have to come from different categories, provided their independence is maintained. Please also refer to: Article 85 - Strong customer authentication."
When can I claim my money for a fraudulent transaction?,Claiming money for fraudulent transaction timing.,6,"You can claim your money for a fraudulent transaction if you are a consumer who has been manipulated by a third party impersonating your payment service provider. You must report the fraud to the police and notify your payment service provider without delay. The payment service provider is obligated to refund you the full amount of the fraudulent transaction within 10 business days after being notified. However, if you acted fraudulently or with gross negligence, the provider may refuse the refund and must justify their decision. Please also refer to: Article 59 - Payment service provider’s liability for impersonation fraud."
Who was Alexander the Great? ,"Historical figure, Macedonian king, military conqueror.",0,It seems that the question is not within the scope of the corpus
Has Alexander the Great to initiate a direct debit service and what actions he has to take for this initiation?,"Alexander the Great, direct debit service initiation actions.",6,"Alexander the Great can initiate a direct debit service by providing a mandate to the payee, allowing the payee to debit his payment account. He must ensure that this mandate is set up through a remote channel with the involvement of a payment service provider, which requires strong customer authentication. Additionally, he can place or revoke a standing payment order or direct debit, initiate a single payment, or initiate payments to multiple beneficiaries. It is essential for him to verify the account holder's name before initiating the payment. Please also refer to: Article 36, ""Requirements regarding dedicated data access interfaces"" and Article 85, ""Strong customer authentication."""
When America was discovered?,Discovery of America by Columbus in 1492.,0,It seems that the question is not within the scope of the corpus
What was the volume in unauthorized payemnt transactions in the United States of America in 2020?,"Unauthorized payment transactions volume in the USA, 2020.",6,I don't know.
Where is Paris?,Location of Paris.,0,It seems that the question is not within the scope of the corpus
Has the French government adopted a framework for the application of Direct Debits?,French government framework for Direct Debits application.,6,"The provided corpus does not specify whether the French government has adopted a framework for the application of Direct Debits. It outlines various articles related to payment services, including transparency, rights, obligations, and information requirements, but does not confirm any specific actions taken by the French government. Therefore, I don't know."
